Year,title,opening_weekend,Profit,mpaa,genre,theaters,runtime
2019,Avengers: Endgame,357115007,3256173564,PG-13,Action,4662,181
2011,Pirates of the Caribbean: On Stranger Tides,90151958,907785604,PG-13,Adventure,4164,136
2015,Avengers: Age of Ultron,191271109,1489322847,PG-13,Action,4276,141
2015,Star Wars Ep. VII: The Force Awakens,247966675,2695278042,PG-13,Adventure,4134,136
2018,Avengers: Infinity War,257698183,2427175236,PG-13,Action,4474,156
2007,Pirates of the Caribbean: At World’s End,114732820,970416917,PG-13,Adventure,4362,167
2017,Justice League,93842239,584969504,PG-13,Action,4051,121
2015,Spectre,70403148,779574935,PG-13,Action,3929,148
2023,Mission: Impossible Dead Reckoning Part One,52011790.67,-290000000,PG-13,Action,3506,118
2019,Star Wars: The Rise of Skywalker,177383864,1313051029,PG-13,Adventure,4406,142
2018,Solo: A Star Wars Story,84420489,331918859,PG-13,Adventure,4381,135
2012,John Carter,30180188,92136779,PG-13,Adventure,3749,132
2016,Batman v Superman: Dawn of Justice,166007347,939755285,PG-13,Action,4256,151
2017,Star Wars Ep. VIII: The Last Jedi,220009584,1689816523,PG-13,Adventure,4232,150
2019,The Lion King,191770759,1931416694,PG,Adventure,4802,118
2010,Tangled,48767052,524599178,PG,Musical,3603,101
2007,Spider-Man 3,151116516,973390533,PG-13,Adventure,4324,139
2016,Captain America: Civil War,179139142,1310002870,PG-13,Action,4226,146
2022,Thor: Love and Thunder,144165107,838710382,PG-13,Action,4375,119
2009,Harry Potter and the Half-Blood Prince,77835727,981500347,PG,Adventure,4455,153
2013,The Hobbit: The Desolation of Smaug,73645197,967599958,PG-13,Adventure,3928,201
2014,The Hobbit: The Battle of the Five Armies,54724334,945509346,PG-13,Adventure,3875,144
2017,The Fate of the Furious,98786705,1212468561,PG-13,Action,4329,136
2021,No Time to Die,55225007,670899043,PG-13,Action,4407,163
2009,Avatar,77025481,3458592554,PG-13,Action,3461,162
2006,Superman Returns,52535096,359201192,PG-13,Adventure,4065,150
2012,The Dark Knight Rises,160887295,1300367206,PG-13,Action,4404,164
2017,Pirates of the Caribbean: Dead Men Tell No Tales,62983253,737420670,PG-13,Adventure,4276,135
2008,Quantum of Solace,67528882,531060505,PG-13,Action,3501,106
2012,The Avengers,207438708,1913458121,PG-13,Action,4349,143
2006,Pirates of the Caribbean: Dead Man’s Chest,135634554,1264495537,PG-13,Adventure,4133,151
2013,Man of Steel,116619362,734045036,PG-13,Action,4207,142
2008,The Chronicles of Narnia: Prince Caspian,55034805,333962778,PG,Adventure,3929,144
2013,The Lone Ranger,29210849,124304230,PG-13,Western,3904,149
2012,The Amazing Spider-Man,62004688,799920930,PG-13,Adventure,4318,136
2012,Battleship,25534825,158711117,PG-13,Action,3702,130
2017,Transformers: The Last Knight,44680073,516062023,PG-13,Action,4132,148
2015,Jurassic World,208806270,2107286592,PG-13,Action,4291,124
2012,Men in Black 3,54592779,618234339,PG-13,Adventure,4248,104
2009,Transformers: Revenge of the Fallen,108966307,1028631569,PG-13,Action,4293,149
2014,Transformers: Age of Extinction,100038390,1139493148,PG-13,Action,4233,165
2006,X-Men: The Last Stand,102750665,483623408,PG-13,Action,3714,104
2010,Robin Hood,36063385,217946154,PG-13,Action,3505,139
2005,King Kong,50130145,561597382,PG-13,Adventure,3627,189
2007,The Golden Compass,25783232,232370286,PG-13,Adventure,3528,113
2020,Tenet,20001852,215955062,PG-13,Action,2930,110
2021,Spider-Man: No Way Home,260138569,2526884017,PG-13,Action,4336,148
